Latitud,Longitud,Altitud,Limite
43.371413,-5.832452,188.7756261769682,30
43.371111,-5.832566,189.2309454549104,30
43.370906,-5.832703,188.6251385547221,30
43.370722,-5.832906,188.1653859419748,30
43.370494,-5.832919,187.4563216241077,30
43.370195674344494,-5.832994361796707,185.7257969388738,0
43.369882,-5.833277,186.3084280453622,30
43.369755,-5.833542,186.0880654817447,30
43.369715,-5.833893,186.198224647902,30
43.369713,-5.834315,187.3293309854344,30
43.369705,-5.834697,187.6917606573552,30
43.369672,-5.835176,188.0612430749461,30
43.36956,-5.835565,188.3011011490598,30
43.369665,-5.835925,188.0262837782502,30
43.369913,-5.836188,187.4839030914009,30
43.37011,-5.836339,187.688880992122,30
43.37038461356039,-5.836430386215015,188.223128519021,0
43.370579,-5.836316,189.187791062519,30
43.37074,-5.836589,188.2010134141892,30
43.370755,-5.836985,188.1456040246412,30
43.370804,-5.837418,188.2429276350886,30
43.370735,-5.837866,189.6536457147449,30
43.370644,-5.838341,190.3229339802638,30
43.370597,-5.838711,190.5272214803845,30
43.370564,-5.839176,190.6460798233747,30
43.370527,-5.839679,191.1775635369122,30
43.370492,-5.839984,191.6319938581437,30
43.37048878247034,-5.840351266600083,191.4583998527378,0
43.370412,-5.840815,192.3128602476791,30
43.370326,-5.841228,193.4012771965936,30
43.370216,-5.841603,194.8216352015734,30
43.370135,-5.841974,193.4645069055259,30
43.37008225320871,-5.842165110418014,194.9109627865255,0
43.369912,-5.842561,196.7718031192198,30
43.369719,-5.842929,198.6282907947898,30
43.369572,-5.843169,199.3674907907844,30
43.369358,-5.843453,199.3086463715881,30
43.369138,-5.843684,198.7424810566008,30
43.368952,-5.843863,200.5381246488541,30
43.3688244768568,-5.844015937001597,200.6037318166345,0
43.368452,-5.844301,199.7338861636817,30
43.368196,-5.84457,200.6601441260427,50
43.367931,-5.844845,201.2451272085309,50
43.367666,-5.845072,201.6842633336782,50
43.367469,-5.845255,201.1927936282009,50
43.367268,-5.845456,201.2720259251073,50
43.367003,-5.845692,201.928569143638,50
43.366814,-5.845869,203.0119795249775,30
43.366566,-5.846085,203.4450326515362,30
43.366283,-5.846278,205.803621689789,30
43.36603161023792,-5.846328445655765,207.8322619842365,0
43.365719,-5.846301,210.2822399493307,30
43.365489,-5.846262,211.441519068554,30
43.36522,-5.846315,213.1325316820294,30
43.365036,-5.846571,214.4792048847303,30
43.364808,-5.846866,212.6821167990565,30
43.364654933802086,-5.847068425424542,215.1030042562634,0
43.364454,-5.847294,216.0360453631729,30
43.364181,-5.847487,217.332142945379,30
43.363926,-5.847476,218.6007349602878,30
43.363927,-5.847166,218.204096859321,30
43.363731,-5.846848,219.7358025657013,30
43.363459,-5.846926,221.3649143073708,30
43.363257,-5.847062,222.6561918305233,30
43.362911,-5.847185,224.7454068437219,30
43.362821,-5.847587,225.5892891408876,30
43.362663,-5.847977,225.4092950336635,30
43.362514,-5.848228,225.9302707761526,30
43.362306,-5.848538,226.6264486452565,30
43.362414,-5.848838,226.4438818069175,30
43.362604,-5.84909,226.6774514988065,30
43.362827,-5.849403,226.6688586762175,30
43.36290539527411,-5.849612070966416,226.5823750728741,0
43.3632,-5.849952,226.5599283091724,30
43.363302,-5.850259,226.9375431565568,30
43.363163,-5.850598,229.0576404780149,30
43.362976,-5.850975,231.3851359821856,30
43.362845,-5.851249,232.4545096494257,30
43.362716,-5.851638,233.7791410256177,30
43.362611,-5.851929,235.4049780871719,30
43.36236424073428,-5.852472723118162,237.0555538479239,0
43.362236,-5.85271,239.152516502887,30
43.362115,-5.852991,239.936214780435,30
43.361973,-5.85332,242.1034853542224,30
43.361885,-5.853651,242.1293680854142,30
43.361628,-5.853949,242.8553336039186,30
43.36152,-5.854287,244.6584088765085,30
43.3614,-5.854682,245.1486098999158,30
43.361335,-5.855131,244.9420181559399,30
43.361301,-5.855495,244.640794692561,30
43.361262,-5.855842,243.9194572400302,30
43.361226,-5.856194,243.1067018918693,30
43.36119,-5.856503,242.4301307247952,30
43.361303,-5.856905,242.2513870168477,30
43.361297,-5.857224,242.3532238816842,30
43.361069,-5.85749,242.8611417878419,30
43.360968,-5.857871,242.868025447242,30
43.36096519767595,-5.858086095875224,243.0099597806111,0
43.36088,-5.858778,243.1325131170452,30
43.360825,-5.859161,243.4581402922049,30
43.360765,-5.85962,244.3066737186164,50
43.360706,-5.859981,245.251243961975,50
43.360649,-5.860414,244.5312581239268,50
43.360631,-5.860799,245.4407700225711,50
43.360559,-5.861169,246.711752361618,50
43.360509,-5.861534,248.2078223275021,50
43.360465,-5.861938,249.9308119295165,50
43.360408,-5.862371,251.3657840900123,50
43.360347,-5.862671,251.7077306862921,50
43.360263,-5.863003,252.0407258700579,50
43.360186,-5.863372,253.0958670694381,50
43.360054990901645,-5.863683866142119,255.21748754289,0
43.359913,-5.864068,256.1407227693126,50
43.359845,-5.864514,257.8316951692104,50
43.359729,-5.86479,258.1635366864502,50
43.359598,-5.865143,260.3066204730421,50
43.359477,-5.865541,262.1100420411676,50
43.359358,-5.865933,263.216440172866,50
43.359233,-5.866344,264.0570095293224,50
43.359134,-5.866682,265.2617317400873,50
43.359055,-5.867041,266.3772727837786,50
43.358918,-5.867503,267.7990322643891,50
43.358815,-5.867846,269.0085004521534,50
43.358692,-5.86825,271.6134283570573,20
43.358563518820745,-5.8685384936047225,275.562148462981,0
43.358404,-5.869024,277.38280101493,50
43.358301,-5.86938,279.2574544213712,50
43.35819,-5.869759,281.5170174054801,50
43.358091,-5.870037,283.0281986324117,50
43.357952,-5.870516,284.851989582181,50
43.357638,-5.870823,286.6088291537017,50
43.35742470882092,-5.8706977148356545,289.5797064192593,30
43.357216,-5.871023,290.51973410137,30
43.357108,-5.871406,292.1677432060242,50
43.356988,-5.871783,293.3875760603696,50
43.356894,-5.872158,293.4625620804727,50
43.356781,-5.872517,293.9544434165582,50
43.356655,-5.872905,295.3746554898098,50
43.35651,-5.873291,297.9574065124616,30
43.356411,-5.873578,298.0756639586762,30
43.356151,-5.873534,301.2208559606224,30
43.355914,-5.873396,304.0165612027049,30
43.355661,-5.873228,307.1184452353045,30
43.35539,-5.873043,310.6999647244811,30
43.355092,-5.872873,314.7629085453227,30
43.354882,-5.872735,317.1305463509634,30
43.354682,-5.872592,319.167400139384,30
