start;end;start_speed;end_speed;Wh;Ah;L/h;L/km;NOx;CO;HC;PM;CO2;battery_degradation
(43.391264, -5.801079, 173.2862721503871);(43.392097, -5.801549, 175.4675523051992);0.1868967264890671;4.767923730626298;245.4462419509888;0.613615604877472;0.0;0.0;0.001426654040109082;0.005349952650409057;0.00046366256303545164;3.566635100272705e-05;0.0;1.6697024102957886e-07
(43.392097, -5.801549, 175.4675523051992);(43.391929, -5.802772, 175.2724560108036);4.767923730626298;9.723267268344914;98.12456318537394;0.24531140796343487;0.0;0.0;0.0033847640174233928;0.012692865065337722;0.0011000483056626026;8.461910043558483e-05;0.0;6.675141832005239e-08
(43.391929, -5.802772, 175.2724560108036);(43.391702, -5.803995, 173.5851919092238);9.723267268344914;6.759550801390853;-5657.322284396621;-14.143305710991553;0.0;0.0;-0.001118048645632953;-0.004192682421123574;-0.00036336580983070975;-2.795121614082383e-05;0.0;6.675142100817766e-08
(43.391702, -5.803995, 173.5851919092238);(43.391045, -5.804887, 172.9304805407301);6.759550801390853;12.81229530522038;67.4506464322408;0.168626616080602;0.0;0.0;0.007613675546358743;0.028551283298845282;0.0024744445525665916;0.00019034188865896858;0.0;4.5884807066679894e-08
(43.391045, -5.804887, 172.9304805407301);(43.390301, -5.805754, 171.1944854445755);12.81229530522038;14.47805116704527;42.957712809244796;0.10739428202311199;0.0;0.0;0.0047153967086179995;0.017682737657317496;0.0015325039303008495;0.00011788491771544998;0.0;2.922294400069821e-08
(43.390301, -5.805754, 171.1944854445755);(43.389589, -5.806546, 168.4837706387043);14.47805116704527;13.64094495391057;-7182.153972741109;-17.955384931852773;0.0;0.0;-0.004461352680015407;-0.016730072550057776;-0.0014499396210050073;-0.00011153381700038517;0.0;2.9222944515841697e-08
(43.389589, -5.806546, 168.4837706387043);(43.388773, -5.807356, 167.1003944259137);13.64094495391057;7.807473090010718;-17951.34706307433;-44.87836765768582;0.0;0.0;-0.0070971083294584176;-0.026614156235469068;-0.0023065602070739856;-0.00017742770823646044;0.0;2.9222944515841697e-08
(43.388773, -5.807356, 167.1003944259137);(43.387925, -5.80777, 167.032203909941);7.807473090010718;9.96521486849166;79.73862613042222;0.19934656532605555;0.0;0.0;0.002854762722865381;0.010705360210745177;0.0009277978849312489;7.136906807163451e-05;0.0;5.424398445517416e-08
(43.387925, -5.80777, 167.032203909941);(43.387211, -5.808526, 167.2727813022211);9.96521486849166;11.0199915179984;55.19991445541364;0.13799978613853411;0.0;0.0;0.003980246668783131;0.014925925007936741;0.0012935801673545177;9.95061667195783e-05;0.0;3.755097909078131e-08
(43.387211, -5.808526, 167.2727813022211);(43.38647, -5.809279, 164.994775406085);11.0199915179984;7.030746648790423;-6570.206500522187;-16.425516251305467;0.0;0.0;-0.0007935690453322227;-0.002975883919995835;-0.0002579099397329724;-1.9839226133305567e-05;0.0;3.755097994149044e-08
(43.38647, -5.809279, 164.994775406085);(43.385562, -5.809665, 167.2776071568951);7.030746648790423;5.813278717650048;104.28751980463682;0.26071879951159205;0.0;0.0;0.0020653124445369144;0.007744921667013429;0.0006712265444744972;5.163281111342286e-05;0.0;7.094392683631175e-08
(43.385562, -5.809665, 167.2776071568951);(43.386286, -5.810673, 172.5879652602598);5.813278717650048;10.46133452152905;79.72645759582538;0.19931614398956346;0.0;0.0;0.010890761044812363;0.04084035391804636;0.0035394973395640175;0.00027226902612030905;0.0;5.423571718708331e-08
(43.386286, -5.810673, 172.5879652602598);(43.386987, -5.811597, 166.8477362757549);10.46133452152905;5.895921310523113;-27118.920068749805;-67.79730017187451;0.0;0.0;-0.01071946013032735;-0.04019797548872756;-0.0034838245423563885;-0.0002679865032581837;0.0;5.4235718961782214e-08
(43.386987, -5.811597, 166.8477362757549);(43.386529, -5.812764, 162.6834325585514);5.895921310523113;11.05217258458242;-2127.8573854289966;-5.319643463572492;0.0;0.0;-0.0003558474845863034;-0.0013344280671986376;-0.00011565043249054859;-8.896187114657584e-06;0.0;5.4235718961782214e-08
(43.386529, -5.812764, 162.6834325585514);(43.386233, -5.814028, 161.2105520656332);11.05217258458242;3.545331856560641;-17233.757503745026;-43.08439375936256;0.0;0.0;-0.004994765240012388;-0.018730369650046458;-0.0016232987030040263;-0.0001248691310003097;0.0;5.4235718961782214e-08
(43.386233, -5.814028, 161.2105520656332);(43.385945, -5.815304, 163.7770017310977);3.545331856560641;9.598177178466203;214.67762734095237;0.5366940683523809;0.0;0.0;0.00212287710402333;0.007960789140087486;0.0006899350588075822;5.307192760058324e-05;0.0;1.4603930136056912e-07
(43.385945, -5.815304, 163.7770017310977);(43.385701, -5.816532, 162.5213321847841);9.598177178466203;0.4323999068037041;-17516.98030485571;-43.79245076213928;0.0;0.0;-0.004480788081716691;-0.016802955306437592;-0.0014562561265579243;-0.00011201970204291726;0.0;1.4603931422774016e-07
