Fecha(GMT),Fecha(Local),Hora(seg),Latitud,Longitud,Precisión horizontal(m),Altitud(m),Precisión vertical(m),Distancia(m),Velocidad(m/s),Velocidad media(m/s),Rumbo(deg),Rumbo real(deg),Rumbo magnético(deg),Precisión de rumbo(deg),Índice de planeo,Frecuencia cardiaca (bpm)
2024-07-18 18:30:01.44,2024-07-18 20:30:01.44,0.0,43.391264,-5.801079,17.94467367200551,173.2862721503871,17.50282519118567,0.0,0.1868967264890671,0.1323666448394457,105.8273779101596,12.05082035064697,12.35202217102051,16.30717658996582,-1285.045387622145,0
2024-07-18 18:30:41.99,2024-07-18 20:30:41.99,40.01840901374817,43.392097,-5.801549,4.821529469863307,175.4675523051992,3.252290055334625,101.0348775113471,4.767923730626298,4.181778344612663,356.3727780828867,6.676454544067383,6.977656364440918,16.24181747436523,89.91962588784914,0
2024-07-18 18:30:57.99,2024-07-18 20:30:57.99,56.01697909832001,43.391929,-5.802772,4.974372517408386,175.2724560108036,3.013329568905631,212.4057834709506,9.723267268344914,9.48184956479162,240.9523162841797,6.676454544067383,6.977656364440918,16.24181747436523,-378.3549560113581,0
2024-07-18 18:31:19.99,2024-07-18 20:31:19.99,78.01696407794952,43.391702,-5.803995,5.038193139529379,173.5851919092238,2.905365195907037,337.770416946999,6.759550801390853,6.950295438284686,309.9285278320312,6.676454544067383,6.977656364440918,16.24181747436523,-37.7337651482578,0
2024-07-18 18:31:30.99,2024-07-18 20:31:30.99,89.01435208320618,43.391045,-5.804887,4.883222067396511,172.9304805407301,3.158904758501052,446.350882553836,12.81229530522038,13.71357360939909,220.3367004394531,279.6640014648438,279.9652099609375,15.19758129119873,491.8558488564148,0
2024-07-18 18:31:37.99,2024-07-18 20:31:37.99,96.01832699775696,43.390301,-5.805754,4.812072623681135,171.1944854445755,3.266266078752219,555.0559777150515,14.47805116704527,14.97929512236957,220.3511047363281,252.5061492919922,252.8073577880859,15.20763969421387,-104.1579115413615,0
2024-07-18 18:31:44.99,2024-07-18 20:31:44.99,103.0177190303802,43.389589,-5.806546,4.936656246060583,168.4837706387043,3.074729604537587,657.0430986772586,13.64094495391057,14.05640418762353,218.309326171875,252.5061492919922,252.8073577880859,15.20763969421387,-50.14243834219995,0
2024-07-18 18:31:55.99,2024-07-18 20:31:55.99,114.0150620937347,43.388773,-5.807356,5.050823291470791,167.1003944259137,2.883352408417153,769.6772685190034,7.807473090010718,7.546246519985702,227.3918059965281,252.5061492919922,252.8073577880859,15.20763969421387,-50.254336826497,0
2024-07-18 18:32:08.99,2024-07-18 20:32:08.99,127.0159250497818,43.387925,-5.80777,4.844238087619394,167.032203909941,3.218368279617239,881.2081923641946,9.96521486849166,9.31708244976303,212.9751581439501,252.5061492919922,252.8073577880859,15.20763969421387,-339.3076632059646,0
2024-07-18 18:32:17.99,2024-07-18 20:32:17.99,136.0159111022949,43.387211,-5.808526,4.924865955338054,167.2727813022211,3.093579214234062,981.5322400861436,11.0199915179984,11.0265470221793,216.6244354248047,252.5061492919922,252.8073577880859,15.20763969421387,233.6151808737386,0
2024-07-18 18:32:53.99,2024-07-18 20:32:53.99,172.0129240751266,43.38647,-5.809279,4.697998871057758,164.994775406085,3.428314985576569,1084.082220194857,7.030746648790423,4.870229601730729,211.8305816650391,113.6575012207031,113.9587020874023,10.0,-107.7803033932322,0
2024-07-18 18:33:10.99,2024-07-18 20:33:10.99,189.0163240432739,43.385562,-5.809665,7.324369414607608,167.2776071568951,3.522788779702322,1196.353623865743,5.813278717650048,5.91564160342964,270.1561611526448,115.5122146606445,115.8134155273438,10.0,57.29054966612209,0
2024-07-18 18:33:23.99,2024-07-18 20:33:23.99,202.015202999115,43.386286,-5.810673,4.664771735737275,172.5879652602598,3.473390517384345,1310.997285762304,10.46133452152905,9.374941754782157,314.8980712890625,115.5122146606445,115.8134155273438,10.0,20.04266636836314,0
2024-07-18 18:33:34.99,2024-07-18 20:33:34.99,213.0146700143814,43.386987,-5.811597,4.717974667261783,166.8477362757549,3.400772275802205,1419.104539964412,5.895921310523113,6.58707626273821,318.6224975585938,115.5122146606445,115.8134155273438,10.0,-88.13730337964964,0
2024-07-18 18:34:00.99,2024-07-18 20:34:00.99,239.0133190155029,43.386529,-5.812764,4.88078332021021,162.6834325585514,3.162671531149991,1610.284888096514,11.05217258458242,11.40938479811194,233.067626953125,115.5122146606445,115.8134155273438,10.0,-65.64122489878747,0
