Fecha(GMT),Fecha(Local),Hora(seg),Latitud,Longitud,Precisión horizontal(m),Altitud(m),Precisión vertical(m),Distancia(m),Velocidad(m/s),Velocidad media(m/s),Rumbo(deg),Rumbo real(deg),Rumbo magnético(deg),Precisión de rumbo(deg),Índice de planeo,Frecuencia cardiaca (bpm)
2024-07-12 18:05:26.13,2024-07-12 20:05:26.13,0,39.699329,-3.804878,39.37022299564839,679.9129269635305,48.47371951568804,0,75.38246154256201,74.98107330130148,171.0983490493556,171.9975128173828,171.5737457275391,10,26.86789259448188,0
2024-07-12 18:05:30.99,2024-07-12 20:05:30.99,5.033066987991333,39.695846,-3.804122,29.66743339914064,720.7624027049169,69.40455020335425,392.163486061626,75.75675963818539,77.90200937309751,170.4540300604803,172.1349639892578,171.7111968994141,10,18.77150014957599,0
2024-07-12 18:05:33.99,2024-07-12 20:05:33.99,8.012983918190002,39.693864,-3.803724,27.26319725435745,692.1480263685808,62.94754343498819,614.8777115081922,75.63656615676545,76.43476283377242,170.85348814505,173.1911010742188,172.767333984375,10,33.99242172917765,0
2024-07-12 18:05:34.99,2024-07-12 20:05:34.99,9.013365983963013,39.693202,-3.803606,26.58725279688617,684.4773343671113,61.42024615470266,689.0801740592206,75.63656615676538,76.43476283377242,171.0800382069753,173.1911010742188,172.767333984375,10,53.67051061341203,0
2024-07-12 18:05:35.99,2024-07-12 20:05:35.99,10.01342391967773,39.692524,-3.803475,25.76714674572625,679.9924219800159,59.90515376752425,765.1874576109706,75.49836730425554,74.96045987075146,171.211771131576,173.2110290527344,172.7872619628906,10,100.4794959811157,0
2024-07-12 18:05:36.99,2024-07-12 20:05:36.99,11.01353192329407,39.691837,-3.803332,25.51475998128895,678.0140155432746,58.75522462002288,842.4583385803687,75.49836730425551,74.96045987075146,171.198724492205,173.2110290527344,172.7872619628906,10,244.719918218649,0
2024-07-12 18:05:37.99,2024-07-12 20:05:37.99,12.01374793052673,39.691167,-3.803209,24.60623263384981,676.534341385588,53.32900674403037,917.611739880017,75.45594024127617,76.23106126654463,171.347129013649,170.8063507080078,170.3825836181641,10,1507.615078446603,0
2024-07-12 18:05:39.99,2024-07-12 20:05:39.99,14.01327896118164,39.689807,-3.802966,23.61644476529646,689.9918563300744,50.34802514414581,1070.084735873677,75.54059600297698,75.89274576190671,171.5187716649802,172.1098785400391,171.6861114501953,10,-2776.808703988646,0
2024-07-12 18:05:40.99,2024-07-12 20:05:40.99,15.01426792144775,39.689136,-3.802820,16.7490546350806,736.172685008496,1.780587683272051,1145.589612355306,74.63742279623285,75.89274576190671,171.9075509685044,176.3266754150391,175.9029083251953,10,313.7210904304335,0
2024-07-12 18:05:41.99,2024-07-12 20:05:41.99,16.01544499397278,39.688465,-3.802680,15.83337757606408,736.1574167655781,1.768854930394224,1221.052826341708,75.20470987739225,75.10746075248677,171.5656464792917,173.9365081787109,173.5127410888672,10,45.68669464151819,0
