Fecha(GMT),Fecha(Local),Hora(seg),Latitud,Longitud,Precisión horizontal(m),Altitud(m),Precisión vertical(m),Distancia(m),Velocidad(m/s),Velocidad media(m/s),Rumbo(deg),Rumbo real(deg),Rumbo magnético(deg),Precisión de rumbo(deg),Índice de planeo,Frecuencia cardiaca (bpm)
2024-07-18 19:30:02.97,2024-07-18 21:30:02.97,0,43.354530,-5.872512,4.827232345796057,319.6662358110771,3.243819494436941,0,0.3498089884275685,0.7155656623531722,-1,146.0577697753906,146.3589782714844,15.5999641418457,42.32350727897595,0
2024-07-18 19:30:03.97,2024-07-18 21:30:03.97,0,43.354524,-5.872513,4.827054578960028,319.7098683994263,3.244084019338874,0,0.1067806060406761,0.7155656623531722,-1,145.4142150878906,145.7154235839844,15.60910701751709,26.55261772784865,0
2024-07-18 19:30:10.97,2024-07-18 21:30:10.97,7.006873965263367,43.354432,-5.872447,4.811607054838135,319.3465590802953,3.26695187944676,11.54602430423014,2.782269607079072,1.919408550705754,148.0665379363416,142.1318054199219,142.4330139160156,15.59142112731934,50.63992567741521,0
2024-07-18 19:30:13.97,2024-07-18 21:30:13.97,10.00877690315247,43.354346,-5.872367,4.811066664118075,318.922288781032,3.267747631963127,23.1128134805229,3.392588920398587,1.919408550705754,148.6684913381818,142.1318054199219,142.4330139160156,15.59142112731934,87.85900804549718,0
2024-07-18 19:30:15.97,2024-07-18 21:30:15.97,12.00691497325897,43.354261,-5.872272,4.802933448978765,319.4731128234416,3.279690125220641,35.25441697749694,5.202489464632932,4.101140195685566,147.852666410623,142.1318054199219,142.4330139160156,15.59142112731934,436.3045984190423,0
2024-07-18 19:30:17.97,2024-07-18 21:30:17.97,14.51009690761566,43.354163,-5.872167,4.807662460777193,319.2187805715948,3.27275399259135,49.08216078549494,6.129896369986714,4.101140195685566,148.5994586059101,142.1318054199219,142.4330139160156,15.59142112731934,295.1335570970956,0
2024-07-18 19:30:19.97,2024-07-18 21:30:19.97,16.00562298297882,43.354049,-5.872063,4.820319585859943,319.177141983062,3.254082992636152,64.32062802013995,7.165248329143125,4.101140195685566,151.181135381962,142.1318054199219,142.4330139160156,15.59142112731934,-213.0442767242667,0
2024-07-18 19:30:21.97,2024-07-18 21:30:21.97,18.00578093528748,43.353928,-5.871949,4.827959096141478,319.534201996401,3.242737732036559,80.66269952906082,8.105471550034945,7.339754403422024,151.3633728027344,142.1318054199219,142.4330139160156,15.59142112731934,-222.6870455810477,0
2024-07-18 19:30:23.97,2024-07-18 21:30:23.97,20.0057989358902,43.353786,-5.871841,4.825197121895226,319.6348421163857,3.246846126265128,98.62316923134418,9.024544434476052,8.17359207351403,151.1803131103516,142.1318054199219,142.4330139160156,15.59142112731934,360.4020903008587,0
2024-07-18 19:30:25.97,2024-07-18 21:30:25.97,22.01027488708496,43.353629,-5.871727,4.816063249599552,319.6486561400816,3.260379089714176,118.4587643763942,9.882449740933353,9.117314504615267,150.6765289306641,142.1318054199219,142.4330139160156,15.59142112731934,295.3442110256269,0
2024-07-18 19:30:26.97,2024-07-18 21:30:26.97,23.01028394699097,43.353545,-5.871668,4.808035949099899,319.5745376748964,3.27220527243507,128.8817304341435,10.18034524516635,9.974868470951797,150.6765289306641,142.1318054199219,142.4330139160156,15.59142112731934,401.2462474735384,0
2024-07-18 19:30:27.97,2024-07-18 21:30:27.97,24.00801193714142,43.353465,-5.871609,4.804407957465902,319.8347631227225,3.277529742203289,139.0286147420642,10.13204086021078,9.974868470951797,150.6765289306641,142.1318054199219,142.4330139160156,15.59142112731934,487.4671566092701,0
2024-07-18 19:30:28.97,2024-07-18 21:30:28.97,25.01028597354889,43.353386,-5.871547,4.800505587138887,320.0307924989611,3.283242778205286,149.1603980384478,10.03434996444144,10.17398059673489,150.6765289306641,142.1318054199219,142.4330139160156,15.59142112731934,362.9181541880862,0
2024-07-18 19:30:30.97,2024-07-18 21:30:30.97,27.00587892532349,43.353241,-5.871434,4.804078856782461,320.2409966606647,3.278012106537215,167.6650939882886,9.426833357635379,9.621113638232535,151.6869354248047,142.1318054199219,142.4330139160156,15.59142112731934,162.3283293888738,0
2024-07-18 19:30:32.97,2024-07-18 21:30:32.97,29.00601196289062,43.353106,-5.871327,4.807806013037096,321.1590419430286,3.272543104955713,184.9365143017593,8.51589518440149,9.067123379739272,151.6869354248047,142.1318054199219,142.4330139160156,15.59142112731934,144.5449300335283,0
2024-07-18 19:30:34.97,2024-07-18 21:30:34.97,31.00621795654297,43.352982,-5.871248,4.804251889098399,321.8278988236561,3.277758505272056,200.099668461319,7.347643988452107,7.970642178858423,151.4916534423828,142.1318054199219,142.4330139160156,15.59142112731934,76.0341166878802,0
2024-07-18 19:30:36.97,2024-07-18 21:30:36.97,33.00759589672089,43.352892,-5.871184,4.797719275133957,321.9436098281294,3.287313004536826,211.3985776631058,5.658973006486751,6.491602432889686,151.4916534423828,142.1318054199219,142.4330139160156,15.59142112731934,50.72000921641109,0
2024-07-18 19:30:40.97,2024-07-18 21:30:40.97,37.00979995727539,43.352808,-5.871113,4.79614503577279,322.4933280795813,3.289609373257083,222.4101683944644,2.572613811178029,3.476495300288059,151.3045501708984,142.1318054199219,142.4330139160156,15.59142112731934,37.21685597092044,0
2024-07-18 19:30:43.97,2024-07-18 21:30:43.97,40.00640594959259,43.352696,-5.871043,4.80176256672614,323.4715759633109,3.281404163704378,236.0989098062799,5.411647262477245,3.476495300288059,151.3494720458984,142.1318054199219,142.4330139160156,15.59142112731934,27.75090482154456,0
