Fecha(GMT),Fecha(Local),Hora(seg),Latitud,Longitud,Precisión horizontal(m),Altitud(m),Precisión vertical(m),Distancia(m),Velocidad(m/s),Velocidad media(m/s),Rumbo(deg),Rumbo real(deg),Rumbo magnético(deg),Precisión de rumbo(deg),Índice de planeo,Frecuencia cardiaca (bpm)
2024-07-18 18:30:54.99,2024-07-18 20:30:54.99,53.01878905296326,43.392029,-5.802437,4.951773738570854,174.8956168377772,3.050323568867549,182.7445094302504,8.745816879385508,8.3842407079295,251.6089177021461,6.676454544067383,6.977656364440918,16.24181747436523,-400.6250719959545,0
2024-07-18 18:31:28.99,2024-07-18 20:31:28.99,87.01369309425354,43.391259,-5.804632,5.534652701048588,173.5878525553271,1.78666071529107,414.9159629535527,10.3569658907226,10.49859149054494,222.150634765625,6.676454544067383,6.977656364440918,16.24181747436523,434.0063262500345,0
2024-07-18 18:31:44.99,2024-07-18 20:31:44.99,103.0177190303802,43.389589,-5.806546,4.936656246060583,168.4837706387043,3.074729604537587,657.0430986772586,13.64094495391057,14.05640418762353,218.309326171875,252.5061492919922,252.8073577880859,15.20763969421387,-50.14243834219995,0
2024-07-18 18:32:09.99,2024-07-18 20:32:09.99,128.0171860456467,43.387854,-5.807861,4.834612832514761,167.2177648730576,3.232809272517082,891.9879633075152,10.50968970113109,9.31708244976303,217.0755483050933,252.5061492919922,252.8073577880859,15.20763969421387,-451.4778487123156,0
2024-07-18 18:32:53.99,2024-07-18 20:32:53.99,172.0129240751266,43.38647,-5.809279,4.697998871057758,164.994775406085,3.428314985576569,1084.082220194857,7.030746648790423,4.870229601730729,211.8305816650391,113.6575012207031,113.9587020874023,10.0,-107.7803033932322,0
2024-07-18 18:33:24.99,2024-07-18 20:33:24.99,203.0150570869446,43.386363,-5.810775,4.658525813972896,172.641068351455,3.48176309839383,1322.898032956947,11.23446637234331,10.58005706320288,314.6641540527344,115.5122146606445,115.8134155273438,10.0,21.68666891339569,0
2024-07-18 18:33:51.99,2024-07-18 20:33:51.99,230.014475107193,43.38712,-5.812233,4.845349785794211,165.2439529187977,3.216694341415242,1528.17515499982,6.193135585477047,6.270461871071221,165.9161834716797,115.5122146606445,115.8134155273438,10.0,-53.19296589912999,0
2024-07-18 18:34:18.99,2024-07-18 20:34:18.99,257.0124380588531,43.386225,-5.814185,5.080147292212131,161.8891762774438,2.831367253151486,1731.335351762655,3.101993094078926,3.927352802598074,253.9661102294922,115.5122146606445,115.8134155273438,10.0,-117.4433817139859,0
2024-07-18 18:35:29.99,2024-07-18 20:35:29.99,328.0139480829239,43.3857,-5.816708,4.983005370086323,163.1401211218908,2.999032262994133,1945.707075755833,4.076497321148145,0.8893345228263945,253.8651580810547,115.5122146606445,115.8134155273438,10.0,30.05495294247748,0
2024-07-18 18:36:05.99,2024-07-18 20:36:05.99,364.0132920742035,43.386161,-5.818917,5.247745927508459,163.0743759647012,2.507129775880622,2168.028322042919,0.5909896497510102,4.4554523676147,297.8446960449219,115.5122146606445,115.8134155273438,10.0,-101.6194889220668,0
