start;end;start_speed;end_speed;Wh;L/h;L/km;NOx;CO;HC;PM;CO2
(43.362414, -5.852323, 237.0555538479239);(43.361447, -5.8545, 244.9824076006189);2.323956676603916;7.971455463169403;0.0;5.58659217877095e-06;0.0022713628942053325;0.0017973907707483452;0.006740215390306294;0.0005841520004932121;4.493476926870862e-05;0.0713874195126833
(43.361447, -5.8545, 244.9824076006189);(43.361297, -5.857224, 242.3532238816842);7.971455463169403;5.905920818116493;0.0;-0.0001841187200294792;-0.02494715996761306;-0.0007323833530061506;-0.0027464375737730647;-0.00023802458972699893;-1.8309583825153763e-05;-2.1950625259602816
(43.361297, -5.857224, 242.3532238816842);(43.360765, -5.85962, 244.3066737186164);5.905920818116493;8.81761105129564;0.0;5.586592178770949e-06;0.0016234351510452177;0.001175584667239436;0.004408442502147885;0.0003820650168528167;2.9389616680985898e-05;0.07264658584469252
(43.360765, -5.85962, 244.3066737186164);(43.360454, -5.862072, 250.6682185484096);8.81761105129564;10.0537891079442;0.0;5.58659217877095e-06;0.0011770525451767282;0.002909542900932597;0.010910785878497238;0.0009456014428030939;7.273857252331491e-05;0.07310479968614124
(43.360454, -5.862072, 250.6682185484096);(43.359877, -5.864352, 257.459608130157);10.0537891079442;3.593101419872392;0.0;5.58659217877095e-06;0.0022131137212797157;0.0012360078386001766;0.004635029394750663;0.00040170254754505745;3.0900195965004415e-05;0.07539211906159471
(43.359877, -5.864352, 257.459608130157);(43.359055, -5.867041, 266.3772727837786);3.593101419872392;10.06107582088077;0.0;5.58659217877095e-06;0.0006854809528793434;0.007638136034059198;0.02864301012772199;0.002482394211069239;0.00019095340085147994;0.06240459470457245
(43.359055, -5.867041, 266.3772727837786);(43.358229, -5.86963, 280.8333094632253);10.06107582088077;10.95893239289813;0.0;5.586592178770949e-06;0.0010513566860851874;0.0054171256658149605;0.0203142212468061;0.001760565841389862;0.000135428141645374;0.06438656058507576
(43.358229, -5.86963, 280.8333094632253);(43.357108, -5.871406, 292.1677432060242);10.95893239289813;10.25775189395712;0.0;5.586592178770949e-06;0.0014346740678120786;0.003610759574954765;0.01354034840608037;0.0011734968618602986;9.026898937386912e-05;0.0774747892980519
(43.357108, -5.871406, 292.1677432060242);(43.356411, -5.873578, 298.0756639586762);10.25775189395712;4.099034173971539;0.0;5.586592178770949e-06;0.0012198100965348118;0.0016253968389916616;0.00609523814621873;0.0005282539726722901;4.063492097479154e-05;0.07667415355335236
(43.356411, -5.873578, 298.0756639586762);(43.354566, -5.872512, 318.883426239714);4.099034173971539;0.1302977668048964;0.0;5.58659217877095e-06;0.0011176401398139506;0.006129678520664151;0.022986294452490567;0.001992145519215849;0.00015324196301660378;0.06630026330248313
