start;end;start_speed;end_speed;Wh;L/h;L/km;NOx;CO;HC;PM;CO2
(43.392029, -5.802437, 174.8956168377772);(43.391259, -5.804632, 173.5878525553271);8.745816879385508;10.3569658907226;0.0;5.586592178770949e-06;0.0009623427800628394;0.0008103949390751939;0.003038981021531977;0.000263378355199438;2.0259873476879846e-05;0.07473428771206697
(43.391259, -5.804632, 173.5878525553271);(43.389589, -5.806546, 168.4837706387043);10.3569658907226;13.64094495391057;0.0;5.586592178770951e-06;0.0003697409520575294;0.002708846151480603;0.010158173068052258;0.0008803749992311958;6.772115378701506e-05;0.06099191024356211
(43.389589, -5.806546, 168.4837706387043);(43.387854, -5.807861, 167.2177648730576);13.64094495391057;10.50968970113109;0.0;-0.00013241383253195002;-0.015029866233624982;-0.000526712800515979;-0.0019751730019349207;-0.00017118166016769315;-1.3167820012899472e-05;-1.5871877121435896
(43.387854, -5.807861, 167.2177648730576);(43.38647, -5.809279, 164.994775406085);10.50968970113109;7.030746648790423;0.0;-0.00010845068250715923;-0.02485755160263592;-0.0004313927148618113;-0.0016177226807317922;-0.00014020263233008868;-1.078481787154528e-05;-1.4915975767240612
(43.38647, -5.809279, 164.994775406085);(43.386363, -5.810775, 172.641068351455);7.030746648790423;11.23446637234331;0.0;5.58659217877095e-06;0.0014219774297223832;0.004550853583782198;0.017065700939183238;0.001479027414729214;0.00011377133959455493;0.12108910096721599
(43.386363, -5.810775, 172.641068351455);(43.38712, -5.812233, 165.2439529187977);11.23446637234331;6.193135585477047;0.0;-0.0010216651691871902;-0.1902144917224795;-0.004063957006322378;-0.015239838773708918;-0.001320786027054773;-0.00010159892515805945;-18.599151202842343
(43.38712, -5.812233, 165.2439529187977);(43.386225, -5.814185, 161.8891762774438);6.193135585477047;3.101993094078926;0.0;-0.00043319774956134075;-0.06260091140843708;-0.0017231643815884443;-0.0064618664309566655;-0.0005600284240162444;-4.307910953971111e-05;-6.121439843968366
(43.386225, -5.814185, 161.8891762774438);(43.3857, -5.816708, 163.1401211218908);3.101993094078926;4.076497321148145;0.0;5.586592178770949e-06;0.0018657980235694226;0.0006905229037813626;0.00258946088918011;0.00022441994372894287;1.7263072594534066e-05;0.06937467640552113
(43.3857, -5.816708, 163.1401211218908);(43.386161, -5.818917, 163.0743759647012);4.076497321148145;0.5909896497510102;0.0;-1.2829988336733642e-06;-0.00024808294378444426;-5.103484249500715e-06;-1.913806593562768e-05;-1.6586323810877324e-06;-1.275871062375179e-07;-0.018193080733626254
(43.386161, -5.818917, 163.0743759647012);(43.385549, -5.821378, 164.3623029477894);0.5909896497510102;8.219092848989575;0.0;5.586592178770951e-06;0.0013788647609198265;0.0016741415947704597;0.006278030980389223;0.0005440960183003994;4.185353986926149e-05;0.07000302284807838
