start;end;start_time;end_time;start_speed;end_speed;L/h;L/km;NOx;CO;HC;PM;CO2
(43.391264, -5.801079, 173.2862721503871);(43.391468, -5.801223, 174.6766786202788);0.0;25.01963210105896;0.1868967264890671;4.291832211540473;1.6318423947162668;0.44490459678531125;0.001803085115149455;0.006761569181810456;0.000586002662423573;4.507712787873638e-05;46.94506021387536
(43.391468, -5.801223, 174.6766786202788);(43.391768, -5.801411, 174.9100775970146);25.01963210105896;32.01887309551239;4.291832211540473;3.660106241653154;0.7771775159528205;0.04123303201568192;0.0008587331812071288;0.003220249429526733;0.00027908828389231686;2.146832953017822e-05;15.552429843130547
(43.391768, -5.801411, 174.9100775970146);(43.392097, -5.801549, 175.4675523051992);32.01887309551239;40.01840901374817;3.660106241653154;4.767923730626298;3.6855762803256034;0.21425616986261037;0.00407233428505113;0.015271253568941738;0.0013235086426416172;0.00010180835712627824;70.70863787833797
(43.392097, -5.801549, 175.4675523051992);(43.39219, -5.801838, 174.6787773203105);40.01840901374817;46.01896810531616;4.767923730626298;4.940056325163201;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.39219, -5.801838, 174.6787773203105);(43.392091, -5.802117, 174.6218505902216);46.01896810531616;50.01689302921295;4.940056325163201;6.779726368867506;6.874560366229693;0.3036936394634484;0.007595964849105648;0.028484868184146177;0.0024686885759593355;0.0001898991212276412;200.54183693925762
(43.392091, -5.802117, 174.6218505902216);(43.392029, -5.802437, 174.8956168377772);50.01689302921295;53.01878905296326;6.779726368867506;8.745816879385508;15.57144042227247;0.48402244157458113;0.017205480466585012;0.0645205517496938;0.005591781151640129;0.0004301370116646253;425.67072131982076
(43.392029, -5.802437, 174.8956168377772);(43.391929, -5.802772, 175.2724560108036);53.01878905296326;56.01697909832001;8.745816879385508;9.723267268344914;11.192144591997545;0.3178271383412132;0.012366628901034326;0.04637485837887872;0.0040191543928361564;0.0003091657225258582;279.85672439952475
(43.391929, -5.802772, 175.2724560108036);(43.391746, -5.80312, 175.396753099747);56.01697909832001;60.01877307891846;9.723267268344914;8.485408375685488;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.391746, -5.80312, 175.396753099747);(43.391587, -5.803391, 173.9241051021963);60.01877307891846;64.01873803138733;8.485408375685488;6.03757650997554;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.391587, -5.803391, 173.9241051021963);(43.391521, -5.803765, 173.1439117807895);64.01873803138733;74.01666009426117;6.03757650997554;4.311076358458661;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.391521, -5.803765, 173.1439117807895);(43.391702, -5.803995, 173.5851919092238);74.01666009426117;78.01696407794952;4.311076358458661;6.759550801390853;12.056366790645681;0.4886555003809223;0.013321541083491217;0.04995577906309206;0.004329500852134645;0.00033303852708728036;322.4881224691791
