start;end;start_time;end_time;start_speed;end_speed;Wh;L/h;L/km;NOx;CO;HC;PM;CO2
(43.391264, -5.801079, 173.2862721503871);(43.391468, -5.801223, 174.6766786202788);0;6.117880351236085;0;8.333333333333334;0.0;8.379888268156424e-06;0.0020111731843575416;0.005262083798314041;0.019732814243677652;0.001710177234452063;0.00013155209495785102;0.8678654863904218
(43.391468, -5.801223, 174.6766786202788);(43.391768, -5.801411, 174.9100775970146);6.117880351236085;10.515368209640187;8.333333333333334;8.333333333333334;0.0;8.379888268156424e-06;0.0010055865921787708;0.02548032800880124;0.09555123003300466;0.008281106602860404;0.0006370082002200311;0.6036966306293324
(43.391768, -5.801411, 174.9100775970146);(43.392097, -5.801549, 175.4675523051992);10.515368209640187;15.102229481479421;8.333333333333334;8.333333333333334;0.0;8.379888268156424e-06;0.001005586592178771;0.017328044971682912;0.06498016864381093;0.005631614615796946;0.00043320112429207276;0.5787723774535387
(43.392097, -5.801549, 175.4675523051992);(43.39219, -5.801838, 174.6787773203105);15.102229481479421;18.173422760104025;8.333333333333334;8.333333333333334;0.0;8.379888268156426e-06;0.0010055865921787712;0.0058945655953482985;0.022104620982556118;0.001915733818488197;0.00014736413988370744;0.8644029738632578
(43.39219, -5.801838, 174.6787773203105);(43.392091, -5.802117, 174.6218505902216);18.173422760104025;21.190056702733415;8.333333333333334;8.333333333333334;0.0;8.379888268156424e-06;0.0010055865921787708;0.009009546095059141;0.033785797856471775;0.002928102480894221;0.00022523865237647852;0.8800367077478402
(43.392091, -5.802117, 174.6218505902216);(43.392029, -5.802437, 174.8956168377772);21.190056702733415;24.409180519638912;8.333333333333334;8.333333333333334;0.0;8.379888268156426e-06;0.0010055865921787715;0.009959787447781901;0.03734920292918212;0.0032369309205291176;0.0002489946861945475;0.8246804889611027
(43.392029, -5.802437, 174.8956168377772);(43.391929, -5.802772, 175.2724560108036);24.409180519638912;27.92851251428387;8.333333333333334;8.333333333333334;0.0;8.379888268156426e-06;0.0010055865921787708;0.00952731408948785;0.03572742783557944;0.003096377079083551;0.0002381828522371962;0.7543330971307739
(43.391929, -5.802772, 175.2724560108036);(43.391746, -5.80312, 175.396753099747);27.92851251428387;32.099851510090375;8.333333333333334;8.333333333333334;0.0;8.379888268156426e-06;0.0010055865921787719;0.007294996763028176;0.02735623786135566;0.0023708739479841572;0.0001823749190757044;0.6364260027825136
(43.391746, -5.80312, 175.396753099747);(43.391587, -5.803391, 173.9241051021963);32.099851510090375;35.48152872906758;8.333333333333334;8.333333333333334;0.0;-0.0006196698386069383;-0.07436038063283255;-0.0024649089135698214;-0.00924340842588683;-0.000801095396910192;-6.162272283924555e-05;-58.05149106751616
(43.391587, -5.803391, 173.9241051021963);(43.391521, -5.803765, 173.1439117807895);35.48152872906758;38.688257825760765;8.333333333333334;11.11111111111111;0.0;8.379888268156426e-06;0.0008619313647246617;0.001821166081776941;0.006829372806663529;0.0005918789765775059;4.5529152044423524e-05;0.7096011961907306
(43.391521, -5.803765, 173.1439117807895);(43.391702, -5.803995, 173.5851919092238);38.688257825760765;41.15569818322281;11.11111111111111;11.11111111111111;0.0;8.379888268156426e-06;0.0007541899441340785;0.01231167072711459;0.04616876522667972;0.004001292986312242;0.00030779176817786476;0.8069339736997448
(43.391702, -5.803995, 173.5851919092238);(43.391608, -5.804345, 173.6545990938321);41.15569818322281;43.87543746312646;11.11111111111111;11.11111111111111;0.0;8.379888268156424e-06;0.0007541899441340776;0.008922894884149147;0.0334608558155593;0.0028999408373484724;0.00022307237210372866;0.7320780588147042
(43.391608, -5.804345, 173.6545990938321);(43.391336, -5.804537, 173.5430060308427);43.87543746312646;46.594494444323445;11.11111111111111;13.88888888888889;0.0;8.379888268156426e-06;0.0006703910614525145;0.008251350406296777;0.030942564023612912;0.002681688882046452;0.00020628376015741944;0.6508993428506679
(43.391336, -5.804537, 173.5430060308427);(43.391149, -5.804765, 173.5826874403283);46.594494444323445;48.59614925152074;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072625;0.01186800819515575;0.04450503073183406;0.003857102663425619;0.0002967002048788937;0.79576616122011
(43.391149, -5.804765, 173.5826874403283);(43.390955, -5.80502, 172.4374161697924);48.59614925152074;50.74581940076921;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072632;0.0006923209329810175;0.0025962034986788153;0.0002250043032188307;1.7308023324525438e-05;0.7409737547725835
(43.390955, -5.80502, 172.4374161697924);(43.390719, -5.805261, 172.7348168874159);50.74581940076921;53.0996254332617;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072622;0.013280024701980099;0.049800092632425366;0.004316008028143532;0.00033200061754950247;0.6767121589557964
(43.390719, -5.805261, 172.7348168874159);(43.390506, -5.805509, 171.9668069882318);53.0996254332617;55.33482247243514;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072629;0.003724225068088995;0.013965844005333732;0.0012103731471289235;9.310562670222488e-05;0.7126213636182144
(43.390506, -5.805509, 171.9668069882318);(43.390301, -5.805754, 171.1944854445755);55.33482247243514;57.51009556268822;13.88888888888889;13.88888888888889;0.0;8.379888268156426e-06;0.0006033519553072617;0.00320644197578588;0.012024157409197048;0.001042093642130411;8.0161049394647e-05;0.7322525016046851
(43.390301, -5.805754, 171.1944854445755);(43.390094, -5.805994, 170.5229803230613);57.51009556268822;59.67851105773373;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072631;0.0038322212392214185;0.01437082964708032;0.0012454719027469611;9.580553098053545e-05;0.7345682437939532
(43.390094, -5.805994, 170.5229803230613);(43.389893, -5.806235, 169.2917851209641);59.67851105773373;61.814340266574916;13.88888888888889;13.88888888888889;0.0;-0.00041104194727672067;-0.029595020203923877;-0.0016350335236118446;-0.006131375713544416;-0.0005313858951738494;-4.0875838090296114e-05;-36.58103982047779
(43.389893, -5.806235, 169.2917851209641);(43.389684, -5.806444, 168.7992813456804);61.814340266574916;63.88354226544114;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072617;0.004770482429845962;0.017889309111922356;0.0015504067896999379;0.00011926206074614905;0.7697891084988016
(43.389684, -5.806444, 168.7992813456804);(43.38949, -5.80665, 168.2228646520525);63.88354226544114;65.84630343715332;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072644;0.003476798369148669;0.013037993884307509;0.0011299594699733175;8.691995922871673e-05;0.8115348851239418
(43.38949, -5.80665, 168.2228646520525);(43.389303, -5.806833, 168.2199017191306);65.84630343715332;67.68404566957315;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.000603351955307263;0.009026570270587335;0.033849638514702504;0.0029336353379408836;0.00022566425676468337;0.8667424266099643
(43.389303, -5.806833, 168.2199017191306);(43.388976, -5.8071, 167.9087474616244);67.68404566957315;71.06669777113883;13.88888888888889;11.11111111111111;0.0;8.379888268156424e-06;0.0006703910614525144;0.006204334703111882;0.023266255136669554;0.0020164087785113616;0.00015510836757779702;0.5232085207389373
(43.388976, -5.8071, 167.9087474616244);(43.388773, -5.807356, 167.1003944259137);71.06669777113883;73.82443031921922;11.11111111111111;11.11111111111111;0.0;8.379888268156426e-06;0.000754189944134078;0.00014800261463752802;0.00055500980489073;4.81008497571966e-05;3.7000653659382e-06;0.7219922228861223
(43.388773, -5.807356, 167.1003944259137);(43.388597, -5.807597, 166.6479760687798);73.82443031921922;76.31151178608218;11.11111111111111;11.11111111111111;0.0;8.379888268156426e-06;0.0007541899441340801;0.0021984891556290583;0.00824433433360897;0.000714508975579444;5.496222889072646e-05;0.8005614126606654
(43.388597, -5.807597, 166.6479760687798);(43.38832, -5.807486, 166.8676801631227);76.31151178608218;79.19709793166136;11.11111111111111;11.11111111111111;0.0;8.379888268156426e-06;0.0007541899441340775;0.007151956499573819;0.02681983687340182;0.0023243858623614912;0.00017879891248934545;0.6900024300311878
(43.38832, -5.807486, 166.8676801631227);(43.387998, -5.807692, 166.7433000151068);79.19709793166136;82.74999016580004;11.11111111111111;11.11111111111111;0.0;8.379888268156424e-06;0.0007541899441340778;0.0048535517117971536;0.018200818919239324;0.0015774043063340748;0.00012133879279492882;0.5604058106188671
(43.387998, -5.807692, 166.7433000151068);(43.387777, -5.807941, 167.5101149203256);82.74999016580004;85.61010661824187;11.11111111111111;11.11111111111111;0.0;8.379888268156426e-06;0.0007541899441340788;0.010662181544526;0.0399831807919725;0.0034652090019709502;0.00026655453861315;0.6961469875865005
(43.387777, -5.807941, 167.5101149203256);(43.387537, -5.808199, 167.6010423181579);85.61010661824187;88.65947954423835;11.11111111111111;11.11111111111111;0.0;8.379888268156426e-06;0.0007541899441340788;0.005891899592067361;0.0220946234702526;0.0019148673674218922;0.00014729748980168403;0.6529412770539784
(43.387537, -5.808199, 167.6010423181579);(43.387292, -5.808443, 167.2344970703125);88.65947954423835;91.35083368469192;11.11111111111111;13.88888888888889;0.0;8.379888268156424e-06;0.0006703910614525148;0.0031864992021816887;0.011949372008181332;0.0010356122407090488;7.966248005454222e-05;0.6575992269588025
(43.387292, -5.808443, 167.2344970703125);(43.387057, -5.808682, 167.5668138219044);91.35083368469192;93.69130897029171;13.88888888888889;13.88888888888889;0.0;8.379888268156426e-06;0.0006033519553072607;0.010207475465936991;0.03827803299726372;0.003317429526429522;0.0002551868866484248;0.6805665378359116
(43.387057, -5.808682, 167.5668138219044);(43.386836, -5.808918, 166.8910588286817);93.69130897029171;95.93203257470424;13.88888888888889;13.88888888888889;0.0;8.379888268156424e-06;0.0006033519553072627;0.001400956780687739;0.005253587927579022;0.00045531095372351515;3.502391951719347e-05;0.7108637401214818
(43.386836, -5.808918, 166.8910588286817);(43.386667625905886, -5.809118578890227, 166.01692263549194);95.93203257470424;101.57107713114017;8.788888888888907;0;0.0;-0.00018965547068329784;-0.04315800849935971;-0.000754407316718007;-0.002829027437692526;-0.0002451823779333523;-1.8860182917950178e-05;-20.205043832872597
(43.386667625905886, -5.809118578890227, 166.01692263549194);(43.386338, -5.809368, 165.1427864423022);101.57107713114017;107.91399693158337;0;13.188888888888892;0.0;-0.00035425840786173737;-0.053720735817281075;-0.0014091612223833554;-0.005284354583937583;-0.00045797739727459054;-3.522903055958389e-05;-22.359220519816834
