Latitud,Longitud,Altitud,Limite,simulated_speed,cumulative_time
43.391264,-5.801079,173.2862721503871,30,0.0,0.0
43.391468,-5.801223,174.6766786202788,30,15.0,50.0
43.391768,-5.801411,174.9100775970146,30,30.0,51.22152440511225
43.392097,-5.801549,175.4675523051992,30,30.0,52.4956525361787
43.39219,-5.801838,174.6787773203105,30,30.0,53.34876178024109
43.392091,-5.802117,174.6218505902216,30,30.0,54.1867156531937
43.392029,-5.802437,174.8956168377772,30,30.0,55.08091671344523
43.391929,-5.802772,175.2724560108036,30,30.0,56.05850893417994
43.391746,-5.80312,175.396753099747,30,30.0,57.21721421079286
43.391587,-5.803391,173.9241051021963,30,30.0,58.156568993842086
43.391521,-5.803765,173.1439117807895,40,35.0,74.82323566050876
43.391702,-5.803995,173.5851919092238,40,40.0,75.50863575980377
43.391608,-5.804345,173.6545990938321,40,40.0,76.26411889311034
43.391336,-5.804537,173.5430060308427,50,45.0,92.93078555977701
43.391149,-5.804765,173.5826874403283,50,50.0,93.48680078399848
43.390955,-5.80502,172.4374161697924,50,50.0,94.08393138101194
43.390719,-5.805261,172.7348168874159,50,50.0,94.73776639003763
43.390506,-5.805509,171.9668069882318,50,50.0,95.3586544564747
43.390301,-5.805754,171.1944854445755,50,50.0,95.962896981545
43.390094,-5.805994,170.5229803230613,50,50.0,96.56523461905765
43.389893,-5.806235,169.2917851209641,50,50.0,97.15852051040243
43.389684,-5.806444,168.7992813456804,50,50.0,97.73329884342083
43.38949,-5.80665,168.2228646520525,50,50.0,98.27851028000754
43.389303,-5.806833,168.2199017191306,50,50.0,98.78899423345749
43.388976,-5.8071,167.9087474616244,40,45.0,115.45566090012416
43.388773,-5.807356,167.1003944259137,40,40.0,116.22169771903538
43.388597,-5.807597,166.6479760687798,40,40.0,116.91255368205286
43.38832,-5.807486,166.8676801631227,40,40.0,117.71410538915819
43.387998,-5.807692,166.7433000151068,40,40.0,118.70101989864116
43.387777,-5.807941,167.5101149203256,40,40.0,119.49549669098612
43.387537,-5.808199,167.6010423181579,40,40.0,120.34254472598514
43.387292,-5.808443,167.2344970703125,50,45.0,137.0092113926518
43.387057,-5.808682,167.5668138219044,50,50.0,137.65934341642952
43.386836,-5.808918,166.8910588286817,50,50.0,138.28176663987745
43.386667625905886,-5.809118578890227,166.01692263549194,0,25.0,221.6150999732108
43.386338,-5.809368,165.1427864423022,50,25.0,304.94843330654413
43.386037,-5.809432,165.9132477268577,50,50.0,305.62525092231664
43.38581,-5.809413,166.0936301276088,50,50.0,306.13058504455813
43.385562,-5.809665,167.2776071568951,30,40.0,339.46391837789145
43.385734,-5.8099,166.9423075132072,50,40.0,372.79725171122476
43.38593,-5.810172,170.0917267818004,50,50.0,373.4169079065755
43.386157,-5.810489,172.4047704217955,50,50.0,374.1368553134798
43.386363,-5.810775,172.641068351455,50,50.0,374.78826550030044
43.386596,-5.811082,172.4678992219269,50,50.0,375.50629049765064
43.386808,-5.811364,170.9072809014469,50,50.0,376.1626045909157
43.386987,-5.811597,166.8477362757549,50,50.0,376.71102876700303
43.387318,-5.811726,165.6864853594452,50,50.0,377.47564530337314
43.387417,-5.812029,165.2718027997762,50,50.0,378.01369171812354
43.387238,-5.812246,164.9991851206869,50,50.0,378.54459551877386
43.387011,-5.812222,165.2327740006149,50,50.0,379.05048806641713
43.386751,-5.812463,163.960872056894,50,50.0,379.7478354678806
43.386529,-5.812764,162.6834325585514,50,50.0,380.4415695572252
43.3864,-5.813127,161.2784334989265,50,50.0,381.09595169417946
43.386332,-5.813444,160.098024437204,50,50.0,381.6314300577452
43.386283,-5.813754,160.8203745000064,50,50.0,382.14546839841404
43.386225,-5.814185,161.8891762774438,50,50.0,382.8557229512536
43.386084,-5.814585,163.8573382431641,50,50.0,383.5756937262689
43.38602,-5.814959,163.5932929646224,50,50.0,384.19824748980335
43.385945,-5.815304,163.7770017310977,50,50.0,384.78165387623324
43.385862,-5.815735,163.7671659169719,50,50.0,385.5040603799131
43.385786,-5.816079,163.717212902382,50,50.0,386.0865555897375
43.38574358801743,-5.816384265009034,163.4767686920241,0,25.0,469.41988892307086
43.385656,-5.816837,163.4400627920404,50,25.0,552.7532222564042
43.385579,-5.817168,163.8479943014681,30,40.0,586.0865555897376
43.385467,-5.8175,164.3009287565947,50,40.0,619.419888923071
43.385423,-5.817935,164.7869412982836,50,50.0,620.1315922001327
43.385657,-5.818181,165.378382130526,30,40.0,653.464925533466
43.385872,-5.81839,165.9714090870693,30,30.0,654.4409513645684
43.386076,-5.818682,165.4891535425559,30,30.0,655.5330905912365
43.386178,-5.819067,162.8771825768054,30,30.0,656.639440148089
43.386264,-5.819453,163.6250267690048,30,30.0,657.7295670159402
43.386324471734845,-5.819999882771146,164.353565803729,0,15.0,707.7295670159402
43.386264,-5.820304,163.1993382554501,30,15.0,757.7295670159402
43.386174,-5.820606,163.784192610532,30,30.0,758.6107212363665
43.385942,-5.820979,164.0474150041118,30,30.0,759.9347866501589
43.385682,-5.821245,163.9046409958974,30,30.0,761.1361593287334
43.385376,-5.821448,164.9122088178992,50,40.0,794.4694926620667
43.385152,-5.821513,165.0115176131949,50,50.0,794.978246504612
43.38488,-5.821572,166.4234413160011,50,50.0,795.5901483833965
43.38463248616602,-5.821483144283495,167.1531824907288,0,25.0,878.9234817167298
43.384333,-5.821324,166.9522901056334,50,25.0,962.2568150500632
43.384096,-5.821103,167.3083207160234,50,50.0,962.8936824439888
43.383912,-5.820808,167.4893805589527,50,50.0,963.5227472595674
43.383771,-5.820446,167.0662357714027,50,50.0,964.1878325457669
43.383682,-5.820098,167.6946302223951,50,50.0,964.7854801199708
43.383685,-5.819663,167.1036640899256,50,50.0,965.4904880241003
43.383515,-5.819456,167.1376055413857,30,40.0,998.8238213574336
43.383178,-5.819359,167.1659710789099,30,30.0,1000.0990524257327
43.382941,-5.819292,167.4039720017463,50,40.0,1033.432385759066
43.38256674342976,-5.819190544574958,168.1421691132709,0,25.0,1116.7657190923992
43.382316,-5.819153,167.8361818837002,50,25.0,1200.0990524257325
43.382038,-5.819072,169.767480163835,50,50.0,1200.7305644086705
43.381739,-5.818988,174.1634650779888,50,50.0,1201.4087479735717
43.381474,-5.819031,178.2745262859389,50,50.0,1202.0016885389139
43.381254,-5.819191,180.8998061819002,50,50.0,1202.5550489594073
43.380896,-5.819522,180.5348407542333,50,50.0,1203.5145103145499
43.380748,-5.819838,180.8378264904022,50,50.0,1204.1231472692364
43.380518,-5.819761,181.0849362174049,50,50.0,1204.649224158266
43.380449,-5.819366,182.3243056675419,50,50.0,1205.3075119765276
43.380284,-5.81908,183.6753282286227,50,50.0,1205.898507060728
43.380073,-5.818807,185.8066204413772,50,50.0,1206.543164583292
43.379854,-5.818547,187.568976550363,50,50.0,1207.1868788279626
43.37963723317274,-5.818374482424776,188.3598660854623,0,25.0,1290.5202121612958
43.379347,-5.81795,189.9334574714303,50,25.0,1373.853545494629
43.379106,-5.817648,190.5447624428198,50,50.0,1374.5790396164805
43.378801,-5.817839,190.9917759802192,50,50.0,1375.3241051246937
43.378723,-5.818318,192.0496401265264,50,50.0,1376.119563094223
43.378684,-5.818629,192.6108680414036,50,50.0,1376.6310168616674
43.378601,-5.818953,193.2289409982041,50,50.0,1377.1875901937437
43.378559,-5.819262,193.5665274159983,50,50.0,1377.6970294876467
43.378485,-5.819706,194.2872318997979,50,50.0,1378.4351989145368
43.37842,-5.820051,194.8012808347121,50,50.0,1379.012717841064
43.378361,-5.820368,195.3514875406399,50,50.0,1379.5429657877905
43.378435,-5.820788,196.5299166478217,50,50.0,1380.24326893278
43.3785,-5.821134,195.8713412042707,50,50.0,1380.8223571392139
43.378337,-5.821382,196.0701148239896,50,50.0,1381.3634159707326
43.378003,-5.821292,196.4503273312002,50,50.0,1382.119764366799
43.37772,-5.821404,196.7810318376869,50,50.0,1382.7742683545919
43.377506381499146,-5.821493170771747,199.4852359043434,0,25.0,1466.1076016879251
43.377213,-5.821704,202.2642611498013,50,25.0,1549.4409350212584
43.376935,-5.821879,204.8174420548603,50,50.0,1550.1206602850712
43.376605,-5.822076,207.2347946595401,50,50.0,1550.920425513295
43.376321,-5.822246,209.3345754193142,30,40.0,1584.2537588466282
43.376144,-5.822593,209.6176141817123,30,30.0,1585.3975915025148
43.375931,-5.822714,209.3814228586853,30,30.0,1586.2514447890505
43.375666,-5.822838,207.8912817826495,30,30.0,1587.2884223075635
